006348:1043.42,95.839,146.239,1042.34,93.2891,150.075,1042.72,98.6903,148.747,1037.17,87.352,148.678,1041.18,101.972,146.196,1042.1,77.1895,130.843,1037.07,105.128,125.409,1082.02,65.9944,110.5,1029.34,112.179,99.6824,1119.37,55.7152,91.6534,1022.76,116.841,73.559,1029.23,76.1359,83.7106,1029.91,94.1417,79.0827,1011.92,68.1731,52.8626,1012.07,86.4956,49.2407,1047.33,83.8731,22.4811,1030.5,95.3515,14.759,979.832,123.214,74.1743,984.646,128.744,59.9256,982.579,131.407,47.7476,977.265,124.847,59.3315
006349:1042.97,96.1288,146.711,1043.29,93.6768,150.472,1042.12,98.9924,149.129,1043.35,88.2053,149.035,1043.71,102.686,146.461,1053.97,78.3441,131.483,1042.2,106.346,125.473,1093.39,66.5021,112.565,1030.44,112.981,99.559,1117.42,55.8961,96.1412,1017.81,117.234,73.9101,1041.05,77.557,83.8272,1037.91,95.7515,78.9146,1013.89,68.4665,53.3854,1013.44,87.9001,49.4685,1045.3,83.143,23.9968,1034.25,96.8882,14.8076,970.237,122.068,73.1647,983.452,128.794,60.5535,990.003,133.228,45.5433,973.765,124.996,59.0603
006350:1040.78,95.5501,145.551,1041.75,93.35,149.185,1038.65,98.1168,148.042,1042.84,88.5351,148.198,1040.56,102.097,145.581,1051.76,79.0543,130.97,1039.49,106.108,124.257,1077.92,65.7269,114.61,1032.13,113.427,98.6449,1083.11,51.4727,100.856,1019.25,117.463,74.7543,1037.54,78.2682,83.1135,1034.52,95.9298,77.8277,1010.43,68.5663,53.5,1013.52,88.2309,49.4877,1042.36,83.0193,24.5736,1038.21,98.2157,15.4785,982.109,125.202,69.7485,982.371,129.879,58.4985,987.225,134.381,45.8004,975.259,126.499,58.4384
006351:1038.57,96.5227,144.925,1039.22,94.1826,148.762,1037.9,99.3689,147.383,1038.32,88.6157,148.017,1038.39,102.719,145.094,1045.66,78.3042,131.427,1034.88,105.778,124.569,1078.65,65.6133,114.893,1025.41,112.609,99.029,1101.42,53.8672,101.3,1019.61,117.836,73.1647,1030.63,76.9837,84.0459,1027.78,94.7752,78.8833,1005.33,68.2408,53.4908,1004.29,87.135,49.6613,1041.99,84.1586,23.5308,1028.98,97.5761,14.6487,972.363,124.056,71.4514,979.262,130.011,61.4192,980.76,134.106,51.1735,969.012,126.247,60.5057
006352:1034.58,96.0676,144.686,1035.06,93.7193,148.613,1035.04,99.0253,147.185,1035.08,88.3244,147.695,1038.03,102.672,145.013,1043.55,78.4011,130.727,1035.38,105.844,125.005,1080.55,66.4891,109.341,1023.07,112.211,98.8364,1104.28,54.1944,88.3409,1015.77,117.501,72.2363,1023.02,76.5727,84.68,1023.35,94.4757,79.8356,998.804,67.9908,53.9485,1003.62,87.3251,49.8027,1024.14,82.3669,24.3714,1019.57,96.5783,15.376,965.014,123.874,76.1893,984.522,132.436,62.1529,973.651,134.355,49.6154,971.181,128.245,61.9804
006353:1038.43,96.863,144.975,1038.92,94.5165,148.965,1038.61,99.8193,147.425,1037.01,89.065,148.376,1039.79,103.382,145.178,1039.93,78.4041,131.87,1034.54,106.306,124.627,1066.59,64.3446,113.566,1021.3,112.681,98.3705,1078.2,50.8272,96.4819,1013.37,118.384,71.8553,1017.22,76.1902,84.9462,1019.58,94.3731,79.4002,988.468,66.7588,54.5296,998.53,87.1682,49.6914,1011.09,79.9811,25.6515,1014.54,96.2649,15.1781,978.171,126.947,71.1116,982.38,132.516,62.3091,977.262,135.8,52.0233,972.643,129.228,61.8901
006354:1031.28,96.4726,143.558,1032.48,94.197,147.541,1031.89,99.3984,146.08,1033.31,88.7659,147.218,1035.08,102.797,144.301,1038.25,78.3481,131.22,1030.35,105.393,124.801,1065.76,65.3866,111.36,1019.06,111.821,98.5485,1084.63,51.6607,91.5662,1013.36,118.112,71.6087,1010.2,75.7291,85.8773,1010.45,93.3261,80.9447,988.594,67.8678,54.6829,992.85,87.1747,50.7213,1014.04,81.4379,24.5001,1010.28,96.3602,15.9944,967.321,125.836,71.2777,985.37,134.51,63.2037,968.566,135.58,51.1216,969.503,129.876,62.6638
006355:1034.29,97.3407,143.812,1035.2,95.0447,147.732,1035.27,100.358,146.302,1035.02,89.6624,147.534,1039.43,103.989,144.281,1036.19,78.783,131.843,1035.53,106.788,124.295,1051.64,63.5738,114.831,1022.71,113.19,98.3461,1059.64,48.4306,98.8742,1012.32,118.905,72.8629,1009.27,76.5154,85.3303,1015.14,94.6507,79.7861,978.558,68.3681,54.597,997.629,88.5284,49.4656,991.72,80.9792,25.8182,1013.02,97.5436,14.7592,978.086,128.52,70.6038,990.992,135.889,62.283,973.53,136.971,52.345,966.89,129.972,60.7273
006356:1033.22,97.3233,143.373,1033.58,95.0389,147.304,1033.76,100.263,145.875,1030.54,89.3468,147.147,1036.22,103.612,143.952,1032.81,78.6423,131.637,1031.05,106.152,124.422,1058.74,64.9132,113.107,1018.53,112.535,98.315,1080.67,51.1966,95.4163,1007.72,118.485,72.5863,1005.43,76.1484,86.2778,1012.46,94.2927,80.5595,968.239,67.421,55.72,993.161,88.2223,49.9936,978.228,80.2382,26.9486,1012.13,98.3313,14.2841,971.862,128.769,70.4863,974.304,135.946,64.0189,973.826,139.558,51.8357,967.791,132.531,60.7042
006357:1037.06,97.8985,143.905,1036.85,95.5842,147.808,1038.05,100.842,146.358,1030.81,89.7748,147.396,1039.22,104.107,144.07,1030.57,79.073,131.704,1032.03,106.564,124.136,1056.87,65.2703,114.034,1017.37,112.864,98.2968,1082.73,51.4779,97.9205,1005.8,118.617,73.1768,1002.69,76.7427,86.184,1012.64,94.8799,80.1386,962.948,67.8006,55.9935,993.968,88.6449,49.7324,974.84,80.9172,27.4633,1014.55,99.0265,13.7867,965.223,128.007,73.0445,969.348,137.162,65.9901,977.7,141.004,53.6905,969.235,133.511,59.5485
006358:1030.43,98.0857,143.884,1031.35,95.9346,147.507,1029.55,100.801,146.425,1028.08,90.3871,147.405,1032.39,103.964,143.964,1030.37,79.5346,131.746,1030.37,106.468,123.226,1051.07,63.6173,118.165,1021.42,113.626,97.581,1059.58,48.5028,108.05,1006.3,119.055,73.968,1010.3,77.5335,84.5451,1019.05,95.4924,78.1955,962.714,68.1625,55.298,994.73,89.4869,49.1204,977.488,81.6203,26.9926,1021.42,101.572,13.4514,970.794,130.374,70.5818,980.192,139.406,65.7996,977.494,143.612,53.7546,967.185,135.138,58.6675
